model,mode,threads,draft_max,p_split,request_idx,tokens_generated,time_ms,tokens_per_sec
coder_q4km,192t,192,8,0,0,128,24957,5.13
coder_q4km,192t,192,8,0,1,128,59178,2.16
coder_q4km,192t,192,8,0,2,128,38091,3.36
coder_q4km,192t,192,8,0,3,128,117656,1.09
coder_q4km,192t,192,8,0,4,128,43230,2.96
coder_q4km,192t,192,8,0,5,128,22531,5.68
coder_q4km,192t,192,8,0,6,128,35413,3.61
coder_q4km,192t,192,8,0,7,128,32610,3.93
coder_q4km,192t,192,8,0,8,128,33078,3.87
coder_q4km,192t,192,8,0,9,0,11312,0.00
coder_q4km,192t,192,16,0,0,128,9281,13.79
coder_q4km,192t,192,16,0,1,128,106420,1.20
coder_q4km,192t,192,16,0,2,128,76759,1.67
coder_q4km,192t,192,16,0,3,128,50916,2.51
coder_q4km,192t,192,16,0,4,128,49214,2.60
coder_q4km,192t,192,16,0,5,128,30463,4.20
coder_q4km,192t,192,16,0,6,128,18934,6.76
coder_q4km,192t,192,16,0,7,128,99886,1.28
coder_q4km,192t,192,16,0,8,0,25424,0.00
coder_q4km,192t,192,16,0,9,0,1030,0.00
coder_q4km,192t,192,24,0,0,128,47489,2.70
coder_q4km,192t,192,24,0,1,128,24145,5.30
coder_q4km,192t,192,24,0,2,128,51959,2.46
coder_q4km,192t,192,24,0,3,128,27318,4.69
coder_q4km,192t,192,24,0,4,128,73911,1.73
coder_q4km,192t,192,24,0,5,128,28453,4.50
coder_q4km,192t,192,24,0,6,0,19242,0.00
coder_q4km,192t,192,24,0,7,0,21,0.00
coder_q4km,192t,192,24,0,8,0,20,0.00
coder_q4km,192t,192,24,0,9,0,19,0.00
coder_q4km,192t,192,32,0,0,128,43943,2.91
coder_q4km,192t,192,32,0,1,128,96441,1.33
coder_q4km,192t,192,32,0,2,128,48262,2.65
coder_q4km,192t,192,32,0,3,128,50053,2.56
coder_q4km,192t,192,32,0,4,0,19777,0.00
coder_q4km,192t,192,32,0,5,0,83,0.00
coder_q4km,192t,192,32,0,6,0,19,0.00
coder_q4km,192t,192,32,0,7,0,20,0.00
coder_q4km,192t,192,32,0,8,0,20,0.00
coder_q4km,192t,192,32,0,9,0,19,0.00
coder_q4km,192t,192,48,0,0,0,22,0.00
coder_q4km,192t,192,48,0,1,0,20,0.00
coder_q4km,192t,192,48,0,2,0,19,0.00
coder_q4km,192t,192,48,0,3,0,18,0.00
coder_q4km,192t,192,48,0,4,0,18,0.00
coder_q4km,192t,192,48,0,5,0,20,0.00
coder_q4km,192t,192,48,0,6,0,19,0.00
coder_q4km,192t,192,48,0,7,0,18,0.00
coder_q4km,192t,192,48,0,8,0,18,0.00
coder_q4km,192t,192,48,0,9,0,20,0.00
coder_q4km,numa_48t,48,8,0,0,128,20513,6.24
coder_q4km,numa_48t,48,8,0,1,128,36623,3.50
coder_q4km,numa_48t,48,8,0,2,128,31683,4.04
coder_q4km,numa_48t,48,8,0,3,0,55076,0.00
coder_q4km,numa_48t,48,8,0,4,0,87,0.00
coder_q4km,numa_48t,48,8,0,5,0,17,0.00
coder_q4km,numa_48t,48,8,0,6,0,18,0.00
coder_q4km,numa_48t,48,8,0,7,0,19,0.00
coder_q4km,numa_48t,48,8,0,8,0,19,0.00
coder_q4km,numa_48t,48,8,0,9,0,19,0.00
coder_q4km,numa_48t,48,16,0,0,128,18468,6.93
coder_q4km,numa_48t,48,16,0,1,0,9978,0.00
coder_q4km,numa_48t,48,16,0,2,0,20,0.00
coder_q4km,numa_48t,48,16,0,3,0,19,0.00
coder_q4km,numa_48t,48,16,0,4,0,19,0.00
coder_q4km,numa_48t,48,16,0,5,0,18,0.00
coder_q4km,numa_48t,48,16,0,6,0,19,0.00
coder_q4km,numa_48t,48,16,0,7,0,19,0.00
coder_q4km,numa_48t,48,16,0,8,0,17,0.00
coder_q4km,numa_48t,48,16,0,9,0,18,0.00
