model,mode,threads,draft_max,p_split,request_idx,tokens_generated,time_ms,tokens_per_sec
coder_q4km,192t,192,8,0,0,128,47975,2.67
coder_q4km,192t,192,8,0,1,128,10471,12.22
coder_q4km,192t,192,8,0,2,128,24102,5.31
coder_q4km,192t,192,8,0,3,128,90267,1.42
coder_q4km,192t,192,8,0,4,128,57888,2.21
coder_q4km,192t,192,8,0,5,128,19192,6.67
coder_q4km,192t,192,8,0,6,128,63461,2.02
coder_q4km,192t,192,8,0,7,128,24424,5.24
coder_q4km,192t,192,8,0,8,128,32261,3.97
coder_q4km,192t,192,8,0,9,128,36438,3.51
coder_q4km,192t,192,16,0,0,128,12254,10.45
coder_q4km,192t,192,16,0,1,128,20812,6.15
coder_q4km,192t,192,16,0,2,128,20838,6.14
coder_q4km,192t,192,16,0,3,128,18774,6.82
coder_q4km,192t,192,16,0,4,128,19167,6.68
coder_q4km,192t,192,16,0,5,128,13125,9.75
coder_q4km,192t,192,16,0,6,128,18947,6.76
coder_q4km,192t,192,16,0,7,128,21222,6.03
coder_q4km,192t,192,16,0,8,128,20321,6.30
coder_q4km,192t,192,16,0,9,128,20003,6.40
coder_q4km,192t,192,24,0,0,0,29,0.00
coder_q4km,192t,192,24,0,1,128,27408,4.67
coder_q4km,192t,192,24,0,2,128,20274,6.31
coder_q4km,192t,192,24,0,3,128,17686,7.24
coder_q4km,192t,192,24,0,4,128,18544,6.90
coder_q4km,192t,192,24,0,5,128,11163,11.47
coder_q4km,192t,192,24,0,6,128,16950,7.55
coder_q4km,192t,192,24,0,7,128,22760,5.62
coder_q4km,192t,192,24,0,8,128,21265,6.02
coder_q4km,192t,192,24,0,9,128,21248,6.02
coder_q4km,192t,192,32,0,0,128,17693,7.23
coder_q4km,192t,192,32,0,1,128,20222,6.33
coder_q4km,192t,192,32,0,2,128,20852,6.14
coder_q4km,192t,192,32,0,3,128,18930,6.76
coder_q4km,192t,192,32,0,4,128,21421,5.98
coder_q4km,192t,192,32,0,5,0,6391,0.00
coder_q4km,192t,192,32,0,6,0,65,0.00
coder_q4km,192t,192,32,0,7,0,21,0.00
coder_q4km,192t,192,32,0,8,0,18,0.00
coder_q4km,192t,192,32,0,9,0,19,0.00
coder_q4km,192t,192,48,0,0,0,1143,0.00
coder_q4km,192t,192,48,0,1,0,20,0.00
coder_q4km,192t,192,48,0,2,0,19,0.00
coder_q4km,192t,192,48,0,3,0,20,0.00
coder_q4km,192t,192,48,0,4,0,19,0.00
coder_q4km,192t,192,48,0,5,0,18,0.00
coder_q4km,192t,192,48,0,6,0,18,0.00
coder_q4km,192t,192,48,0,7,0,18,0.00
coder_q4km,192t,192,48,0,8,0,18,0.00
coder_q4km,192t,192,48,0,9,0,19,0.00
